helpfulness,review_id,criteria_scores
1,1130688,
4,1437136,
3,769442,
2,343871,
2,98308,
2,1400127,
3,82007,
3,973645,
4,1652592,
2,1040000,
5,522479,
4,1141317,
2,771668,
3,1809502,
1,1809356,
3,106804,
4,1523108,
2,1521547,
3,1255325,
4,122135,
3,236371,
2,1665291,
5,1198706,
2,1809297,
2,1478851,
1,1809368,
3,1186279,
2,243862,
2,470240,
4,1384313,
3,1809371,
2,1809549,
2,1122313,
1,1809318,
4,293330,
4,673258,
4,890158,
4,480713,
1,1240410,
4,1142423,
3,97338,
2,1582074,
3,80508,
2,1186702,
4,1421819,
3,1809436,
3,79266,
3,473794,
1,1565880,
2,1809348,
4,1247156,
3,848477,
1,1568725,
3,2007800,
1,943847,
2,1766844,
1,1297944,
4,897454,
2,1809564,
3,456312,
3,774365,
4,1636046,
1,122020,
2,1155309,
3,179922,
4,1417896,
3,320995,
3,364797,
1,757193,
2,1286738,
5,1198360,
4,370864,
1,264921,
3,700980,
2,1809562,
4,611305,
2,38698,
1,172803,
2,1452324,
2,1809427,
4,1361887,
2,133322,
2,302382,
3,133658,
2,1523532,
3,768435,
1,1809414,
4,372872,
1,1809343,
1,1140852,
4,202150,
1,1473802,
1,1809299,
3,556666,
3,164083,
2,1043465,
2,1809332,
3,1582429,
2,591047,
1,1113192,
3,1809346,
2,1809355,
3,885943,
2,777421,
4,1183585,
3,1416021,
2,1086780,
4,1508948,
2,888044,
2,908965,
4,788230,
1,1720538,
1,1173429,
3,613965,
2,1025005,
1,1809286,
3,221411,
3,1499690,
2,1306756,
2,1785775,
3,1407889,
3,43879,
1,220456,
4,294297,
4,1759404,
4,183696,
3,1809559,
3,837826,
2,1809417,
2,14015,
3,1408011,
1,972506,
2,1326790,
1,1502460,
4,1609638,
1,1676969,
2,575411,
3,952333,
2,1809372,
3,1809477,
4,468276,
2,1629991,
2,1160246,
2,1076638,
4,1349745,
5,446140,
2,91617,
1,1646723,
3,1394753,
3,842208,
4,1809515,
2,1601989,
1,1809464,
4,584171,
2,2894,
3,808131,
2,1303326,
1,1176329,
1,992770,
3,379802,
3,36523,
2,999430,
2,1361442,
1,886260,
4,95215,
1,1134302,
3,381603,
2,1809568,
2,1809533,
2,1466086,
3,1220984,
1,33573,
4,145322,
2,1809296,
3,1579981,
3,887534,
2,781402,
3,581090,
3,347512,
2,930381,
2,6232,"{'Specificity and Detail': 1, 'Length and Conciseness': 2, 'Balanced Perspective': 1, 'Constructive Sentiment': 2, 'Readability': 3, 'Comparative Insights': 1, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 3, 'Use of Evidence': 1, 'User Experience Context': 2, 'Consistency with Rating': 3}"
2,1250974,"{'Specificity and Detail': 2, 'Length and Conciseness': 2, 'Balanced Perspective': 1, 'Constructive Sentiment': 2, 'Readability': 3, 'Comparative Insights': 1, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 4, 'Use of Evidence': 1, 'User Experience Context': 2, 'Consistency with Rating': 2}"
2,1481207,"{'Specificity and Detail': 1, 'Length and Conciseness': 2, 'Balanced Perspective': 1, 'Constructive Sentiment': 2, 'Readability': 3, 'Comparative Insights': 1, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 4, 'Use of Evidence': 1, 'User Experience Context': 2, 'Consistency with Rating': 2}"
3,609149,"{'Specificity and Detail': 3, 'Length and Conciseness': 3, 'Balanced Perspective': 2, 'Constructive Sentiment': 3, 'Readability': 3, 'Comparative Insights': 2, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 4, 'Use of Evidence': 2, 'User Experience Context': 3, 'Consistency with Rating': 3}"
3,668244,"{'Specificity and Detail': 3, 'Length and Conciseness': 3, 'Balanced Perspective': 2, 'Constructive Sentiment': 3, 'Readability': 3, 'Comparative Insights': 2, 'Emotionally Intelligent Language': 3, 'Relevance to the Product': 4, 'Use of Evidence': 2, 'User Experience Context': 3, 'Consistency with Rating': 3}"
2,1809530,"{'Specificity and Detail': 1, 'Length and Conciseness': 2, 'Balanced Perspective': 1, 'Constructive Sentiment': 1, 'Readability': 3, 'Comparative Insights': 1, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 4, 'Use of Evidence': 1, 'User Experience Context': 2, 'Consistency with Rating': 2}"
2,1188113,"{'Specificity and Detail': 2, 'Length and Conciseness': 2, 'Balanced Perspective': 1, 'Constructive Sentiment': 2, 'Readability': 3, 'Comparative Insights': 1, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 4, 'Use of Evidence': 1, 'User Experience Context': 2, 'Consistency with Rating': 2}"
3,1685113,"{'Specificity and Detail': 3, 'Length and Conciseness': 3, 'Balanced Perspective': 2, 'Constructive Sentiment': 2, 'Readability': 3, 'Comparative Insights': 2, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 4, 'Use of Evidence': 2, 'User Experience Context': 3, 'Consistency with Rating': 3}"
2,69480,"{'Specificity and Detail': 2, 'Length and Conciseness': 2, 'Balanced Perspective': 1, 'Constructive Sentiment': 2, 'Readability': 3, 'Comparative Insights': 1, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 4, 'Use of Evidence': 1, 'User Experience Context': 2, 'Consistency with Rating': 2}"
2,712485,"{'Specificity and Detail': 2, 'Length and Conciseness': 2, 'Balanced Perspective': 1, 'Constructive Sentiment': 2, 'Readability': 3, 'Comparative Insights': 1, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 4, 'Use of Evidence': 1, 'User Experience Context': 2, 'Consistency with Rating': 2}"
4,297667,
3,758654,
2,925102,
3,1680318,
2,1538715,
1,736157,
2,1215476,
2,655746,
1,1809400,
3,1972144,
